log10_fc_hz,pm_target_deg,log10_icp_a,log10_n,log10_kvco_hz,worst_phase_margin_deg,log10_worst_lock_time_s,worst_jitter_peaking_db
7.655456447479308757e+00,5.249739534219117587e+01,-2.204119982655924570e+00,1.457554022893058132e+00,7.301029995663981254e+00,5.054453466133151096e+01,-7.480185049059436153e+00,2.956620411977029406e+00
6.425120615912582878e+00,5.150112848272740251e+01,-2.659555885159881505e+00,2.294520830931150890e+00,7.602059991327962507e+00,4.956764073130830184e+01,-6.127430586696174686e+00,3.060480043844769238e+00
6.881286118742326430e+00,5.036639623389176990e+01,-2.391473966422805741e+00,1.842408777776070483e+00,7.740362689494244108e+00,4.845804028252626949e+01,-6.569802041796818592e+00,3.182814709413635423e+00
5.855185013605010091e+00,5.822537792690773983e+01,-2.425968732272281159e+00,2.237415302147331975e+00,7.602059991327962507e+00,5.621759245393624838e+01,-5.619925864024240880e+00,2.415541352653062468e+00
7.127911622262809388e+00,6.452987600165860727e+01,-2.328827157284916627e+00,1.452198306439330899e+00,7.740362689494244108e+00,6.259648125388312678e+01,-6.814941053562350248e+00,1.902868385428089004e+00
6.654087745677322197e+00,6.055934568857676226e+01,-2.301029995663981254e+00,2.225808332458339311e+00,7.740362689494244108e+00,5.856095040969859156e+01,-6.391931369073764913e+00,2.217497943547334316e+00
6.158752413393902891e+00,4.665325680730731506e+01,-2.602059991327962507e+00,2.506525801269819276e+00,7.602059991327962507e+00,4.484734413801615460e+01,-5.845417814424319403e+00,3.617345295217490708e+00
6.669090277854374804e+00,5.830015489141402441e+01,-2.329058719264224919e+00,1.815119145337110274e+00,7.301029995663981254e+00,5.629236168573658006e+01,-6.433152529986331025e+00,2.409032067445280756e+00
5.117651838640803419e+00,5.894877505891069802e+01,-2.504455662453551668e+00,2.724898914524895410e+00,7.602059991327962507e+00,5.694175467803475499e+01,-4.874265096339013503e+00,2.352994562525832833e+00
6.512448675380763774e+00,4.166725021917753224e+01,-2.551293680094920191e+00,1.890421334538464837e+00,7.602059991327962507e+00,4.003737405708920960e+01,-6.214596050003998506e+00,4.300220852213108458e+00
7.227572074791627443e+00,4.647161482927330667e+01,-2.425968732272281159e+00,1.830808850704910729e+00,7.301029995663981254e+00,4.467142060692924588e+01,-6.914647104153652357e+00,3.640112840411143136e+00
5.943860057958493925e+00,4.720826892518944362e+01,-2.903089986991943761e+00,1.966439515575012953e+00,7.602059991327962507e+00,4.538526093193161159e+01,-5.629251643840756714e+00,3.548628716183190868e+00
6.793961128845264597e+00,4.721053036078026111e+01,-2.504455662453551668e+00,1.883783157137627118e+00,7.740362689494244108e+00,4.538745389727733937e+01,-6.479361739497766060e+00,3.548353057860176740e+00
7.614997955056218792e+00,4.923511027729202283e+01,-2.425968732272281159e+00,1.552546636349837028e+00,7.301029995663981254e+00,4.735485078708416040e+01,-7.299821287734308051e+00,3.309313593338591541e+00
5.845440802812190917e+00,5.016275841870316299e+01,-2.551293680094920191e+00,2.274649671698059983e+00,7.602059991327962507e+00,4.825924220973647039e+01,-5.532855664124027406e+00,3.205273283909378712e+00
5.665256751530566071e+00,6.074509963195257001e+01,-2.328827157284916627e+00,2.727932651932565733e+00,7.602059991327962507e+00,5.874833214544710813e+01,-5.400462582702634684e+00,2.202168035678629288e+00
6.138493006036823907e+00,4.684622746498892809e+01,-3.508638306165727361e+00,2.178147515881459384e+00,7.602059991327962507e+00,4.503430583454709790e+01,-5.824781872308517627e+00,3.593302627064991039e+00
7.119708295920635699e+00,4.148660379000845921e+01,-2.425968732272281159e+00,1.506400253243485476e+00,7.740362689494244108e+00,3.986374520359268558e+01,-6.822526457714853443e+00,4.327428064656023921e+00
7.425473657564998220e+00,5.939227970254570721e+01,-2.425968732272281159e+00,1.710397509396198945e+00,7.301029995663981254e+00,5.738666776743926334e+01,-7.176699412153570101e+00,2.315104368692163739e+00
6.173873762165469792e+00,5.276766263859113337e+01,-2.806875401645538393e+00,2.488556582506641579e+00,7.602059991327962507e+00,5.081000125731154071e+01,-5.995892742845691181e+00,2.928936865513090737e+00
7.161170145055820946e+00,5.669723513928377656e+01,-2.329058719264224919e+00,2.007892480957655490e+00,7.301029995663981254e+00,5.469386269966480540e+01,-6.942957975068895671e+00,2.551606800634819816e+00
7.111336421306780231e+00,4.617866850805268797e+01,-2.504455662453551668e+00,1.703780179274960727e+00,7.740362689494244108e+00,4.438782181880554845e+01,-6.798905906024859114e+00,3.677112722028648584e+00
5.913187570030728146e+00,4.988893182762190293e+01,-2.328827157284916627e+00,2.204533207158723584e+00,7.602059991327962507e+00,4.799207634890763075e+01,-5.599877042474546762e+00,3.235686397533533487e+00
6.485546720585159797e+00,5.315055621544688336e+01,-2.391473966422805741e+00,1.820442941820478167e+00,7.740362689494244108e+00,5.118643627464285828e+01,-6.304239375784589150e+00,2.890311245180436917e+00
6.930512123128155899e+00,4.016022206660775140e+01,-2.329058719264224919e+00,2.136885139202229666e+00,7.301029995663981254e+00,3.858998392663255572e+01,-6.638564944758225117e+00,4.533787057842203261e+00
6.799399906970135632e+00,4.468769289319462246e+01,-2.725842150736319969e+00,1.643548210296517986e+00,7.740362689494244108e+00,4.294669107006353670e+01,-6.491163007312179545e+00,3.871552020907081726e+00
6.561797731172839931e+00,6.406057732810953098e+01,-3.200659450546418316e+00,2.081035196658382436e+00,7.740362689494244108e+00,6.211609691080423090e+01,-6.255066495250058090e+00,1.938777031768417647e+00
5.837971223510023400e+00,4.970166829461297908e+01,-2.328827157284916627e+00,2.300707943527704913e+00,7.602059991327962507e+00,4.780946744983185681e+01,-5.524145729565351104e+00,3.256627815272587156e+00
6.171922060152692957e+00,6.183806577801830429e+01,-2.903089986991943761e+00,1.981322146948370611e+00,7.602059991327962507e+00,5.985361292991518667e+01,-5.893968096279974311e+00,2.113393676267438348e+00
7.634397407144305703e+00,4.318507522622265782e+01,-2.204119982655924570e+00,1.551443089486834293e+00,7.301029995663981254e+00,4.149780883061441727e+01,-7.331213160806156814e+00,4.078613659238061295e+00
5.845074599053468489e+00,5.241429234497132938e+01,-3.508638306165727361e+00,2.700165623944493110e+00,7.602059991327962507e+00,5.046294749859927720e+01,-5.670453761970926543e+00,2.965174153357790665e+00
6.345427262110310274e+00,5.150888322168312072e+01,-2.425968732272281159e+00,2.088557190505066163e+00,7.602059991327962507e+00,4.957523473421363747e+01,-6.047753048861694403e+00,3.059660368419012233e+00
5.901540826269227935e+00,6.471738333419548894e+01,-2.504455662453551668e+00,2.540878256845536143e+00,7.602059991327962507e+00,6.278868144867902856e+01,-5.586088466092633986e+00,1.888581907157889095e+00
7.426626398605512769e+00,6.033835160449088164e+01,-2.726998727936262412e+00,1.541537337960745546e+00,7.301029995663981254e+00,5.833819294488188234e+01,-7.167130747809550506e+00,2.235804498749494051e+00
6.837293977963483371e+00,6.087470509896001403e+01,-2.204119982655924570e+00,1.695076373708402695e+00,7.301029995663981254e+00,5.887915259350177166e+01,-6.571166537642792349e+00,2.191502598068408858e+00
6.173910458544910718e+00,5.213837846948969457e+01,-2.659555885159881505e+00,2.473833949964178380e+00,7.602059991327962507e+00,5.019219873041615188e+01,-6.001983274617488817e+00,2.993715316370387569e+00
6.430770469209282858e+00,5.972886559262865092e+01,-2.659555885159881505e+00,1.918210603804198167e+00,7.602059991327962507e+00,5.772480810420137232e+01,-6.177971204430553698e+00,2.286687719610997593e+00
6.371215010403440182e+00,4.905769876211422797e+01,-2.391473966422805741e+00,2.028326112227705202e+00,7.740362689494244108e+00,4.718210674188367193e+01,-6.056081101304411796e+00,3.329545119604055969e+00
6.681966954013683235e+00,4.000751725267307535e+01,-2.659555885159881505e+00,1.679421782262667584e+00,7.740362689494244108e+00,3.844345336206328057e+01,-6.390828505729198028e+00,4.558157155437566388e+00
7.069466810126595391e+00,6.109476405921816422e+01,-3.508638306165727361e+00,1.812362609570934868e+00,7.740362689494244108e+00,5.910142449831647582e+01,-6.800695952897495289e+00,2.173490978420805853e+00
7.447618306592960202e+00,5.883616346459763236e+01,-2.329058719264224919e+00,1.575459817154994280e+00,7.301029995663981254e+00,5.682890000880632897e+01,-7.205582590521812492e+00,2.362669803803930435e+00
6.827963416050380374e+00,4.734810639936394239e+01,-2.806875401645538393e+00,1.940850427887468310e+00,7.740362689494244108e+00,4.552088292104909328e+01,-6.513316003527743092e+00,3.531619838684630253e+00
6.685515508472186674e+00,4.184352533494514859e+01,-2.602059991327962507e+00,1.656258381535281599e+00,7.740362689494244108e+00,4.020683802468553836e+01,-6.386949206618979247e+00,4.273894975851817435e+00
7.240804982381695787e+00,4.306726650440183590e+01,-2.505149978319905824e+00,1.691765988152899025e+00,7.301029995663981254e+00,4.138434842052765816e+01,-6.937514752693324738e+00,4.095408498650630946e+00
7.026589423753160979e+00,5.458300117308689892e+01,-2.602059991327962507e+00,1.822081356224467541e+00,7.740362689494244108e+00,5.259841933982551154e+01,-6.830238931548453962e+00,2.749254098026363557e+00
6.417084340295893696e+00,5.330401183685860644e+01,-2.806875401645538393e+00,2.146869478226486105e+00,7.602059991327962507e+00,5.133741790330634558e+01,-6.233669044603801446e+00,2.874942905633811385e+00
6.642338536347437206e+00,4.979186998634757089e+01,-2.425968732272281159e+00,1.566121093228916461e+00,7.740362689494244108e+00,4.789741707266531989e+01,-6.328763024780625912e+00,3.246526141276654620e+00
6.322148066333672212e+00,5.815308777334951174e+01,-2.903089986991943761e+00,1.894069857395158651e+00,7.740362689494244108e+00,5.614532860999821651e+01,-6.087567468907913337e+00,2.421843957556824911e+00
5.943344934535763180e+00,5.211247355865626218e+01,-2.504455662453551668e+00,2.560322112573444997e+00,7.602059991327962507e+00,5.016678912735309837e+01,-5.771371036873110150e+00,2.996406226189953781e+00
6.244009891470470919e+00,4.438524374962702979e+01,-2.301029995663981254e+00,2.234588962002073131e+00,7.740362689494244108e+00,4.265478999181505060e+01,-5.936596944158332612e+00,3.912356647752802452e+00
6.862510413181938773e+00,4.498245851698715114e+01,-2.806875401645538393e+00,1.867962229076692626e+00,7.740362689494244108e+00,4.323131358265410995e+01,-6.553370306321038008e+00,3.832175392625858823e+00
6.993573246989513770e+00,5.973118870631690669e+01,-3.028028723600243666e+00,1.997856947270911343e+00,7.301029995663981254e+00,5.772714341635560231e+01,-6.740773334574154063e+00,2.286492649324992410e+00
6.434359996316827868e+00,5.782484077344801676e+01,-2.425968732272281159e+00,1.888049396000453850e+00,7.301029995663981254e+00,5.581743252063401428e+01,-6.203862611627987356e+00,2.450641416495461744e+00
6.344192799764635460e+00,4.616014922627439176e+01,-3.200659450546418316e+00,1.786335918402619072e+00,7.740362689494244108e+00,4.436989858261267727e+01,-6.031678133156080257e+00,3.679463496106256670e+00
7.381378044697513019e+00,4.380019756306342771e+01,-2.425968732272281159e+00,1.860193884843895251e+00,7.301029995663981254e+00,4.209053785081067645e+01,-7.075610848008252241e+00,3.992458534938206682e+00
7.184699425264695627e+00,5.789794617313735614e+01,-2.425968732272281159e+00,1.449507437687476141e+00,7.301029995663981254e+00,5.589042707604147608e+01,-6.953522399636987039e+00,2.444182513426551573e+00
6.796183755649108704e+00,5.462456700564195700e+01,-2.328827157284916627e+00,1.852397620342813411e+00,7.740362689494244108e+00,5.263948147349000806e+01,-6.599873529474276523e+00,2.745263728256865932e+00
6.479056669702379700e+00,5.449925451410236832e+01,-2.425968732272281159e+00,1.696093442785113536e+00,7.301029995663981254e+00,5.251570331205897446e+01,-6.284121023349601209e+00,2.757341587180001774e+00
6.313753071425012742e+00,4.986649492677399564e+01,-2.358525889495900252e+00,1.890192518290717105e+00,7.602059991327962507e+00,4.797019290590705509e+01,-6.000381657971817440e+00,3.238189347795121353e+00
6.386748469440926002e+00,4.207021439741237145e+01,-2.806875401645538393e+00,2.150547247124031447e+00,7.602059991327962507e+00,4.042482224716974315e+01,-6.087155637711987310e+00,4.240270213767599827e+00
6.715147230114660637e+00,4.485068637251983148e+01,-2.425968732272281159e+00,1.637853816770772575e+00,7.301029995663981254e+00,4.310405887935314695e+01,-6.405930278535553413e+00,3.849730858859536919e+00
6.639701853894619532e+00,4.978234392695269861e+01,-3.508638306165727361e+00,2.183634815840240329e+00,7.740362689494244108e+00,4.788812797409508448e+01,-6.326100112059250158e+00,3.247591684291204484e+00
7.566898663428230698e+00,5.893991464580309270e+01,-2.028028723600243666e+00,1.564392939318838938e+00,7.301029995663981254e+00,5.693287346749897893e+01,-7.323513013101351277e+00,2.353755014347030272e+00
6.622657480738584290e+00,5.870560687703112279e+01,-2.301029995663981254e+00,1.726649591328031308e+00,7.740362689494244108e+00,5.669811918412992213e+01,-6.381975655293494754e+00,2.373914868009136203e+00
5.824323778579216793e+00,6.344762771589972772e+01,-2.301029995663981254e+00,2.249447654256861995e+00,7.602059991327962507e+00,6.149007525872872293e+01,-5.525780614465625185e+00,1.986195852939302675e+00
5.908021188469631646e+00,4.661737820971099922e+01,-2.725842150736319969e+00,2.649347722806079553e+00,7.602059991327962507e+00,4.481259031299100570e+01,-5.594532581633149704e+00,3.621831913251184254e+00
6.707423686883067226e+00,5.791283086414517811e+01,-2.358525889495900252e+00,2.105428669648844675e+00,7.740362689494244108e+00,5.590529148657071801e+01,-6.475561526020478631e+00,2.442868704894467058e+00
6.947009446125212762e+00,5.945620565254820633e+01,-3.200659450546418316e+00,1.912654430633078384e+00,7.740362689494244108e+00,5.745085651516438929e+01,-6.697561642659954018e+00,2.309670722012330923e+00
6.813846498574053889e+00,4.566250989205909150e+01,-2.806875401645538393e+00,1.718637209029939550e+00,7.740362689494244108e+00,4.388849896587427679e+01,-6.502624044033648687e+00,3.743160541673460351e+00
6.496781175914615680e+00,5.679757008694225817e+01,-2.725842150736319969e+00,2.106034664490917141e+00,7.740362689494244108e+00,5.479366418031037256e+01,-6.277192124975647936e+00,2.542518288293276196e+00
6.345053869379632339e+00,5.535503589169884719e+01,-2.425968732272281159e+00,2.186221686180284340e+00,7.740362689494244108e+00,5.336195858014173155e+01,-6.141222058785020366e+00,2.675809405161877041e+00
6.785274980847106896e+00,5.157169522823178909e+01,-2.504455662453551668e+00,1.848313086631272029e+00,7.740362689494244108e+00,4.963675045201185299e+01,-6.489526334829025522e+00,3.053027754722502429e+00
6.052667859363318748e+00,4.488706282441491169e+01,-2.725842150736319969e+00,2.482956810914928258e+00,7.602059991327962507e+00,4.313918551330795026e+01,-5.743642818376827996e+00,3.844876920522928732e+00
6.996925297829867496e+00,5.216301083257886972e+01,-2.391473966422805741e+00,1.752184686158685611e+00,7.740362689494244108e+00,5.021636175997906548e+01,-6.825042301755182450e+00,2.991158392904705643e+00
7.183260699896867330e+00,6.110277420597606124e+01,-2.726998727936262412e+00,1.726821778378499372e+00,7.301029995663981254e+00,5.910951877129855347e+01,-6.914485644767569106e+00,2.172839243293506861e+00
6.682003293004309619e+00,6.341415208685734939e+01,-2.358525889495900252e+00,1.937393134897055669e+00,7.740362689494244108e+00,6.145593122154303956e+01,-6.384081553978516510e+00,1.988803730191027963e+00
7.178332023122111494e+00,4.120663987504737946e+01,-2.124938736608299905e+00,2.025539446383574305e+00,7.301029995663981254e+00,3.959473040534589927e+01,-6.882401082825992056e+00,4.370200097110528148e+00
6.271696106440169949e+00,4.478972990316395908e+01,-2.659555885159881505e+00,2.239182725349929903e+00,7.602059991327962507e+00,4.304520142554966355e+01,-5.962771433994766390e+00,3.857877777403141195e+00
5.890780593233857942e+00,4.187831737181959113e+01,-2.551293680094920191e+00,2.314675383695834032e+00,7.602059991327962507e+00,4.024029005466448439e+01,-5.592461610062361643e+00,4.268717487068856009e+00
7.152286270306538185e+00,6.053066515194805675e+01,-2.028028723600243666e+00,1.753005566595161158e+00,7.301029995663981254e+00,5.853203041778843385e+01,-6.890142185454090296e+00,2.219869544858710686e+00
6.987225309534891515e+00,5.442269107790654914e+01,-2.204119982655924570e+00,1.740483437186503002e+00,7.301029995663981254e+00,5.244010050088465391e+01,-6.792962884862251194e+00,2.764765814815810518e+00
7.240793904580121065e+00,5.395697369937585819e+01,-3.028028723600243666e+00,1.802065676202473377e+00,7.301029995663981254e+00,5.198060088999031336e+01,-7.051312473160031402e+00,2.810242846113541582e+00
7.175251593087375035e+00,4.758002531660613244e+01,-2.726998727936262412e+00,1.630364705253656510e+00,7.301029995663981254e+00,4.574589382010708505e+01,-6.860317609276465944e+00,3.503574218878391822e+00
7.205310271561866209e+00,5.414434768040638346e+01,-2.204119982655924570e+00,1.641273077819049409e+00,7.301029995663981254e+00,5.216539637594809165e+01,-7.013766740757782614e+00,2.791879930343141858e+00
6.237389138779930953e+00,6.188070634254929558e+01,-2.602059991327962507e+00,1.965762320359117021e+00,7.740362689494244108e+00,5.989683005007091765e+01,-5.958789353217119000e+00,2.109968943309690648e+00
6.547956973643759504e+00,4.456780644155694660e+01,-2.328827157284916627e+00,1.827548349736659805e+00,7.740362689494244108e+00,4.283096889154856513e+01,-6.239688998751033999e+00,3.887677474387154053e+00
6.974096245698419239e+00,5.287900917256605027e+01,-2.328827157284916627e+00,1.764054498571650864e+00,7.740362689494244108e+00,5.091942790041184708e+01,-6.794722888840579955e+00,2.917661197246162352e+00
7.026818290100676379e+00,5.099248624913828110e+01,-2.903089986991943761e+00,1.672513001300560243e+00,7.740362689494244108e+00,4.906987202719395214e+01,-6.720331180004955662e+00,3.114639159562245130e+00
6.563359544924226796e+00,5.436026922007042828e+01,-3.026872146400301222e+00,1.728990366621399932e+00,7.740362689494244108e+00,5.237847479013069574e+01,-6.369784622482105974e+00,2.770829569004835236e+00
5.826090562034818454e+00,5.535393184357219809e+01,-2.903089986991943761e+00,2.669526446640198447e+00,7.602059991327962507e+00,5.336086536731235697e+01,-5.622257925116615596e+00,2.675913435659651451e+00
6.490496922576720173e+00,5.940079131111951227e+01,-2.806875401645538393e+00,2.120232528252012028e+00,7.602059991327962507e+00,5.739521349286548002e+01,-6.241720854493438608e+00,2.314380490332749396e+00
6.289907267880525232e+00,5.080662410865664924e+01,-2.602059991327962507e+00,1.885856706836939178e+00,7.740362689494244108e+00,4.888814338929975634e+01,-5.981822418135058328e+00,3.134719634569310465e+00
7.197459394666315013e+00,4.790012464400601999e+01,-2.425968732272281159e+00,1.972339222759312172e+00,7.301029995663981254e+00,4.605663224912012765e+01,-6.881949616519546176e+00,3.465196766599548894e+00
6.945473199408441545e+00,4.702177653507891364e+01,-2.726998727936262412e+00,1.679504636595948286e+00,7.301029995663981254e+00,4.520444846634424607e+01,-6.631298002000501235e+00,3.571559198700881677e+00
6.727000772800680650e+00,5.016532112584619796e+01,-2.806875401645538393e+00,1.897364731870283761e+00,7.740362689494244108e+00,4.826174340451214562e+01,-6.414422269626125939e+00,3.204989812741428246e+00
5.747212243549334687e+00,6.155688801607618643e+01,-3.508638306165727361e+00,2.469386977249148352e+00,7.602059991327962507e+00,5.956881548194996867e+01,-5.472537474498675891e+00,2.136038079004367596e+00
6.301749034277039918e+00,6.238541939079595267e+01,-2.391473966422805741e+00,2.164208889780760092e+00,7.602059991327962507e+00,6.040892470948361392e+01,-6.016666973852253797e+00,2.069613758358728628e+00
5.407127728161729152e+00,5.335577559009351489e+01,-2.504455662453551668e+00,2.382278046807101646e+00,7.602059991327962507e+00,5.138836205859129791e+01,-5.223783680745953006e+00,2.869772984891168388e+00
6.190152522528973300e+00,5.183009928471422256e+01,-3.200659450546418316e+00,1.919748996120917095e+00,7.602059991327962507e+00,4.988992806269234848e+01,-6.021655865095631555e+00,3.025864774258384848e+00
5.864569384436883581e+00,6.317177651821478435e+01,-2.301029995663981254e+00,2.239129693288799849e+00,7.602059991327962507e+00,6.120885575514665788e+01,-5.569828109736104871e+00,2.007723663491095323e+00
7.256023903355496962e+00,5.650691362319211919e+01,-2.505149978319905824e+00,1.773688971356419897e+00,7.301029995663981254e+00,5.450464490983341648e+01,-7.039863757438972414e+00,2.568904177130954203e+00
6.340530411624988538e+00,5.471335629848381643e+01,-2.358525889495900252e+00,2.253640852260935468e+00,7.602059991327962507e+00,5.272721227539420852e+01,-6.142812027524001017e+00,2.736753806213156004e+00
6.000399113185979516e+00,5.181543822083705919e+01,-2.504455662453551668e+00,2.532351501808726368e+00,7.602059991327962507e+00,4.987555892342069797e+01,-5.831874348867083668e+00,3.027400647125946254e+00
6.691304315379624335e+00,5.771755653580959233e+01,-2.806875401645538393e+00,1.924725785813576007e+00,7.740362689494244108e+00,5.571034467055056894e+01,-6.461481681947662814e+00,2.460138773088198061e+00
5.704037951560197328e+00,5.802914465292104751e+01,-2.301029995663981254e+00,1.979662745067470420e+00,7.602059991327962507e+00,5.602147353048434297e+01,-5.470815752950617394e+00,2.432672464666298495e+00
6.861618688816306211e+00,4.288197382696286297e+01,-2.301029995663981254e+00,1.801140726781371715e+00,7.740362689494244108e+00,4.120593248133826592e+01,-6.559060923904468154e+00,4.121960151774072934e+00
6.203476015530891452e+00,4.945923451021636197e+01,-2.328827157284916627e+00,2.195151823150815140e+00,7.740362689494244108e+00,4.757317785999015314e+01,-5.888960680335717512e+00,3.283912825370471911e+00
5.998911193565372280e+00,5.771248708216772627e+01,-2.504455662453551668e+00,2.314104899714809704e+00,7.602059991327962507e+00,5.570528548663494917e+01,-5.769777734616571507e+00,2.460588101042028963e+00
5.953480781403189148e+00,5.073426733236906472e+01,-2.602059991327962507e+00,2.581644072716999805e+00,7.602059991327962507e+00,4.881741863158529782e+01,-5.644641354632264907e+00,3.142582198310463149e+00
5.905936564197360461e+00,5.723254342325460442e+01,-2.806875401645538393e+00,2.216413886676332101e+00,7.602059991327962507e+00,5.522671538651047740e+01,-5.681567157156431236e+00,2.503356894550998746e+00
7.237296890530185323e+00,6.345065799094510339e+01,-2.505149978319905824e+00,1.546961126425971722e+00,7.301029995663981254e+00,6.149316627082600917e+01,-6.938751063040005995e+00,1.985959845391288559e+00
6.028713156637571124e+00,5.315420076254054038e+01,-2.301029995663981254e+00,2.389956860297407282e+00,7.602059991327962507e+00,5.119002130015945795e+01,-5.847411048096185837e+00,2.889945520163361259e+00
6.647237801089457498e+00,4.618353051012139332e+01,-2.425968732272281159e+00,1.940118852340762423e+00,7.301029995663981254e+00,4.439252743681245761e+01,-6.334829347638017971e+00,3.676495788445810042e+00
6.758749894586306262e+00,5.973861617395954937e+01,-2.659555885159881505e+00,1.959153593172025420e+00,7.740362689494244108e+00,5.773461002072261294e+01,-6.505947904635811518e+00,2.285869028470435271e+00
6.007594114759272408e+00,5.181167561193826288e+01,-2.328827157284916627e+00,2.320037299074588333e+00,7.602059991327962507e+00,4.987187132373233567e+01,-5.839062123907973856e+00,3.027794914706346319e+00
6.679537571442652144e+00,4.188797588902743740e+01,-2.659555885159881505e+00,2.172463386882172109e+00,7.740362689494244108e+00,4.024957683172618772e+01,-6.380629585349541166e+00,4.267281260954899125e+00
6.228484778271772271e+00,4.178521492633706913e+01,-2.725842150736319969e+00,2.345939513528416676e+00,7.602059991327962507e+00,4.015077664417398751e+01,-5.930160772511382739e+00,4.282585982909695055e+00
6.611296519005423811e+00,4.952253517702276753e+01,-3.508638306165727361e+00,1.723916258789728095e+00,7.740362689494244108e+00,4.763486147901406298e+01,-6.296963846558631062e+00,3.276769526766547980e+00
6.226597320228064447e+00,5.147151422453957537e+01,-2.391473966422805741e+00,2.350557031248054152e+00,7.602059991327962507e+00,4.953864170803001343e+01,-5.928248885954996439e+00,3.063611922623989958e+00
5.742008859795604714e+00,5.664861595655885651e+01,-2.358525889495900252e+00,2.111298520614628416e+00,7.740362689494244108e+00,5.464551406319719717e+01,-5.524486533587106507e+00,2.556018344394285879e+00
6.046535386098885745e+00,4.614193731772716944e+01,-3.508638306165727361e+00,2.271134830553215522e+00,7.602059991327962507e+00,4.435227341537154189e+01,-5.733937782140493766e+00,3.681776620846124892e+00
6.278179194066264124e+00,5.842918752848551378e+01,-2.659555885159881505e+00,1.731002892474118982e+00,7.740362689494244108e+00,5.642142773698125779e+01,-6.040884144095541863e+00,2.397823937828506224e+00
6.579368451163465359e+00,4.564143530696195228e+01,-2.806875401645538393e+00,1.653438696418295217e+00,7.740362689494244108e+00,4.386812147800168304e+01,-6.268044205919505174e+00,3.745880700259307972e+00
7.213535124431914802e+00,5.889846603892948451e+01,-2.425968732272281159e+00,1.545321806250286922e+00,7.301029995663981254e+00,5.689133136686012904e+01,-6.970823027858266130e+00,2.357314202316473484e+00
6.199450517720038967e+00,5.247523269974587379e+01,-2.358525889495900252e+00,2.344063979299357392e+00,7.740362689494244108e+00,5.052277445943860812e+01,-6.024142084962569754e+00,2.958899681544886473e+00
6.369273138408655832e+00,5.493364058942007944e+01,-2.903089986991943761e+00,1.941533284029692163e+00,7.602059991327962507e+00,5.294497381760868393e+01,-6.169524569794850422e+00,2.715722415473405427e+00
6.721144094557201853e+00,6.390836648556547317e+01,-2.358525889495900252e+00,1.938587076671391296e+00,7.740362689494244108e+00,6.196049190232602655e+01,-6.416889171667166103e+00,1.950471532088499105e+00
